epoch,w0,w1,w2,w3,w4,Y(k),E(k)
1,-0.20562357455075259,-0.1442382846941894,-0.13439012319745436,0.2158854807842362,0.05395970869562061,0011000000000000,3
2,-0.267739445297712,-0.2904503182915464,-0.12523491430432598,0.2981548178021637,0.26152780620844285,0011000100010000,1
3,-0.41819955139154985,-0.42010680834420233,-0.13441960248753815,0.1476947117083258,0.2523431180252307,0000000000000000,3
4,-0.27027038760939254,-0.4168740452171305,-0.279940857429688,0.441145130432633,0.40027228180738805,0111000100010000,2
5,-0.3694612029356637,-0.36517929523301385,-0.26364968257866245,0.45942592378115293,0.43625823081897747,0111000100010000,2
6,-0.45031260902614345,-0.46391721209343795,-0.21269736956250046,0.5103782367973149,0.3554068247284977,0011000100000000,2
7,-0.6008390288295072,-0.6134107877102314,-0.22974085253131038,0.3598518169939511,0.33836334175968774,0001000000000000,2
8,-0.48403302094948425,-0.6135866599565033,-0.22343758346729609,0.476657824873974,0.4551693496397107,0001000100000000,1
9,-0.5091374320703514,-0.6386910710773706,-0.35891140949944367,0.45155341375310676,0.4300649385188434,0001000100000000,1
10,-0.4155797017538694,-0.5451333407608885,-0.35891140949944367,0.5451111440695888,0.5236226688353255,0111000100010000,2
11,-0.6084482082924096,-0.564669148110002,-0.3968081819026009,0.47441643018959645,0.4785709913483013,0001000000000000,2
12,-0.4729798921776247,-0.564669148110002,-0.261339865787816,0.6098847463043814,0.6140393074630862,0111000100010000,2
13,-0.5899971551767592,-0.564669148110002,-0.11945499609018914,0.6080733887006831,0.6407182717652768,0111000100010000,2
14,-0.7340165573532873,-0.572820814464824,-0.23577202361396354,0.599921722345861,0.49669886958874865,0001000100000000,1
15,-0.6316012391634515,-0.4704054962749882,-0.23577202361396354,0.7023370405356969,0.5991141877785845,0011000100010000,1
16,-0.7280404294500732,-0.4360088815548757,-0.3343156587790055,0.6058978502490752,0.633510802498697,0001000100010000,0
