epoch,w0,w1,w2,w3,w4,Y(k),E(k)
1,-0.6,-0.3,-0.6,0.3,0.3,0001000000000000,2
2,-0.6,-0.6,-0.6,0.5999999999999999,0.6,0101000000000000,3
3,-0.5999999999999999,-0.6,-0.6,0.8999999999999999,0.6,0111000100010000,2
4,-0.8999999999999999,-0.8999999999999999,-0.3,0.8999999999999999,0.8999999999999999,0111000100010000,2
5,-1.2,-1.2,-0.3,0.8999999999999999,0.5999999999999999,0001000000000000,2
6,-1.2,-1.5,-0.3,0.8999999999999999,0.5999999999999999,0001000000000000,2
7,-0.8999999999999999,-1.5,-0.3,1.2,0.8999999999999999,0111001100000000,4
8,-1.2,-1.5,-0.6,1.2,0.8999999999999999,0011000100000000,2
9,-1.2,-1.5,-0.6,1.2,1.2,0111000100000000,3
10,-1.2,-1.5,-0.6,1.5,1.2,0111000100000000,3
11,-1.5,-1.5,-0.6,1.5,1.2,0011000100000000,2
12,-1.5,-1.2,-0.6,1.5,1.5,0111000100010000,2
13,-1.8,-1.2,-0.8999999999999999,1.5,1.2,0001000000000000,2
14,-1.8,-1.5,-0.8999999999999999,1.5,1.2,0001000000000000,2
15,-1.5,-1.5,-0.5999999999999999,1.8,1.5,0111000100010000,2
16,-1.8,-1.5,-0.2999999999999999,1.8,1.5,0011000100010000,1
17,-2.1,-1.5,-0.5999999999999999,1.5,1.5,0001000100000000,1
18,-2.1,-1.5,-0.8999999999999999,1.5,1.5,0001000100000000,1
19,-1.8,-1.2,-0.8999999999999999,1.8,1.8,0111000100010000,2
20,-2.1,-1.2,-0.8999999999999999,1.8,1.5,0001000100010000,0
